dataset	approach	fold	activity	metric	value
Helpdesk	Buksh	fold_0	Take in charge ticket	Accuracy	0.06854838709677419
Helpdesk	Buksh	fold_0	Take in charge ticket	Recall	0.022849462365591395
Helpdesk	Buksh	fold_0	Take in charge ticket	Precision	0.3333333333333333
Helpdesk	Buksh	fold_0	Take in charge ticket	F1 - Score(macro)	0.04276729559748427
Helpdesk	Buksh	fold_0	Take in charge ticket	F1 - Score(micro)	0.06854838709677419
Helpdesk	Buksh	fold_0	Resolve ticket	Accuracy	0.6928746928746928
Helpdesk	Buksh	fold_0	Resolve ticket	Recall	0.23095823095823095
Helpdesk	Buksh	fold_0	Resolve ticket	Precision	0.3333333333333333
Helpdesk	Buksh	fold_0	Resolve ticket	F1 - Score(macro)	0.2728592162554426
Helpdesk	Buksh	fold_0	Resolve ticket	F1 - Score(micro)	0.6928746928746928
Helpdesk	Buksh	fold_0	Closed	Accuracy	0.595625
Helpdesk	Buksh	fold_0	Closed	Recall	0.19854166666666664
Helpdesk	Buksh	fold_0	Closed	Precision	0.3333333333333333
Helpdesk	Buksh	fold_0	Closed	F1 - Score(macro)	0.24885755320537928
Helpdesk	Buksh	fold_0	Closed	F1 - Score(micro)	0.595625
Helpdesk	Buksh	fold_0	Assign seriousness	Accuracy	0.0
Helpdesk	Buksh	fold_0	Assign seriousness	Recall	0.0
Helpdesk	Buksh	fold_0	Assign seriousness	Precision	0.0
Helpdesk	Buksh	fold_0	Assign seriousness	F1 - Score(macro)	0.0
Helpdesk	Buksh	fold_0	Assign seriousness	F1 - Score(micro)	0.0
Helpdesk	Buksh	fold_0	Wait	Accuracy	0.0
Helpdesk	Buksh	fold_0	Wait	Recall	0.0
Helpdesk	Buksh	fold_0	Wait	Precision	0.0
Helpdesk	Buksh	fold_0	Wait	F1 - Score(macro)	0.0
Helpdesk	Buksh	fold_0	Wait	F1 - Score(micro)	0.0
Helpdesk	Buksh	fold_0	Require upgrade	Accuracy	0.0
Helpdesk	Buksh	fold_0	Require upgrade	Recall	0.0
Helpdesk	Buksh	fold_0	Require upgrade	Precision	0.0
