dataset	approach	fold	prefix_length	metric	value
Helpdesk	Buksh	fold_0	2	Accuracy	0.5111402359108781
Helpdesk	Buksh	fold_0	2	Recall	0.1145012656760816
Helpdesk	Buksh	fold_0	2	Precision	0.08636740197023886
Helpdesk	Buksh	fold_0	2	F1 - Score(macro)	0.09783849874845525
Helpdesk	Buksh	fold_0	2	F1 - Score(micro)	0.5111402359108781
Helpdesk	Buksh	fold_0	3	Accuracy	0.4644572526416907
Helpdesk	Buksh	fold_0	3	Recall	0.11414340496671979
Helpdesk	Buksh	fold_0	3	Precision	0.10352346850561113
Helpdesk	Buksh	fold_0	3	F1 - Score(macro)	0.10536007872707892
Helpdesk	Buksh	fold_0	3	F1 - Score(micro)	0.4644572526416907
Helpdesk	Buksh	fold_0	4	Accuracy	0.5125
Helpdesk	Buksh	fold_0	4	Recall	0.13521031584404042
Helpdesk	Buksh	fold_0	4	Precision	0.11963158757478895
Helpdesk	Buksh	fold_0	4	F1 - Score(macro)	0.12658417402269861
Helpdesk	Buksh	fold_0	4	F1 - Score(micro)	0.5125
Helpdesk	Buksh	fold_0	5	Accuracy	0.5394736842105263
Helpdesk	Buksh	fold_0	5	Recall	0.21422611597830624
Helpdesk	Buksh	fold_0	5	Precision	0.1743321718931475
Helpdesk	Buksh	fold_0	5	F1 - Score(macro)	0.18414918414918416
Helpdesk	Buksh	fold_0	5	F1 - Score(micro)	0.5394736842105263
Helpdesk	Buksh	fold_0	6	Accuracy	0.47619047619047616
Helpdesk	Buksh	fold_0	6	Recall	0.2846153846153846
Helpdesk	Buksh	fold_0	6	Precision	0.24318181818181817
Helpdesk	Buksh	fold_0	6	F1 - Score(macro)	0.24592391304347822
Helpdesk	Buksh	fold_0	6	F1 - Score(micro)	0.47619047619047616
Helpdesk	Buksh	fold_0	7	Accuracy	0.6
Helpdesk	Buksh	fold_0	7	Recall	0.25
Helpdesk	Buksh	fold_0	7	Precision	0.1875
Helpdesk	Buksh	fold_0	7	F1 - Score(macro)	0.21428571428571427
Helpdesk	Buksh	fold_0	7	F1 - Score(micro)	0.6
Helpdesk	Buksh	fold_1	2	Accuracy	0.5120139799038882
Helpdesk	Buksh	fold_1	2	Recall	0.1515790491118886
Helpdesk	Buksh	fold_1	2	Precision	0.1141483059784221
Helpdesk	Buksh	fold_1	2	F1 - Score(macro)	0.13000297762202526
Helpdesk	Buksh	fold_1	2	F1 - Score(micro)	0.5120139799038882
Helpdesk	Buksh	fold_1	3	Accuracy	0.47539417104634496
Helpdesk	Buksh	fold_1	3	Recall	0.1357145979020979
Helpdesk	Buksh	fold_1	3	Precision	0.1447224054354152
Helpdesk	Buksh	fold_1	3	F1 - Score(macro)	0.12826415331276914
Helpdesk	Buksh	fold_1	3	F1 - Score(micro)	0.47539417104634496
Helpdesk	Buksh	fold_1	4	Accuracy	0.48877805486284287
Helpdesk	Buksh	fold_1	4	Recall	0.1539748402818942
Helpdesk	Buksh	fold_1	4	Precision	0.12818713997302966
Helpdesk	Buksh	fold_1	4	F1 - Score(macro)	0.1381231811927816
Helpdesk	Buksh	fold_1	4	F1 - Score(micro)	0.48877805486284287
Helpdesk	Buksh	fold_1	5	Accuracy	0.5205479452054794
Helpdesk	Buksh	fold_1	5	Recall	0.2547671840354767
Helpdesk	Buksh	fold_1	5	Precision	0.2965853658536585
Helpdesk	Buksh	fold_1	5	F1 - Score(macro)	0.24235459662288933
